173.247.207.38 - - [30/Sep/2013:17:14:01 -0700] "GET /placements/51124309?type=IMPRESSION&flight_id=13438&creative_id=281933&iid=dr02-nmcr-Aaks-ocir&ad_version=PLATFORM&external_placement_id=TESTING&anticache=1380585889406&e=mc2 HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:14:10 -0700] "GET /placements/51124309?type=IMPRESSION&flight_id=13438&creative_id=281933&iid=dr02-nmcr-Aaks-ocir&ad_version=PLATFORM&external_placement_id=TESTING&anticache=1380585889406&e=mc2 HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:14:12 -0700] "GET /placements/51124309?type=IMPRESSION&flight_id=13438&creative_id=281933&iid=dr02-nmcr-Aaks-ocir&ad_version=PLATFORM&external_placement_id=TESTING&anticache=1380585889406&e=mc2 HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:14:13 -0700] "GET /placements/51124309?type=IMPRESSION&flight_id=13438&creative_id=281933&iid=dr02-nmcr-Aaks-ocir&ad_version=PLATFORM&external_placement_id=TESTING&anticache=1380585889406&e=mc2 HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:14:45 -0700] "GET /placements/51124309?WHATEVERIWANTHERE=Mouse HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:17:26 -0700] "GET /placements/51124309?WHATEVERIWANTHERE=Mouse.gif HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:17:29 -0700] "GET /placements/asdf.gif HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:17:32 -0700] "GET /asdf.gif HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:18:47 -0700] "GET /asdf.gif HTTP/1.1" 200 43 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [30/Sep/2013:17:18:58 -0700] "GET /placements/51124309?WHATEVERIWANTHERE=Mouse HTTP/1.1" 200 43 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0"
173.247.207.38 - - [01/Oct/2013:18:00:04 +0000] "GET /i%20can%20has%20cheeseburger HTTP/1.1" 200 43 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36"
